question_number,question_id,db_id,difficulty,num_documents,altered_sql,execution_time_seconds,llm_total_tokens,llm_total_cost,correct,extracted,ground_truth
1,1471,debit_card_specializing,simple,10,"SELECT CAST(SUM(IIF(Currency = 'EUR', 1, 0)) AS FLOAT) / SUM(IIF(Currency = 'CZK', 1, 0)) AS ratio FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS customers ",3.8061,10490,0.001601,True,['None'],[None]
2,1483,debit_card_specializing,simple,10,SELECT SUM(Consumption) FROM(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS yearmonth WHERE CustomerID = 6 AND Date BETWEEN '201308' AND '201311',1.8028,8606,0.001312,True,['None'],[None]
3,1484,debit_card_specializing,simple,10,"SELECT SUM(IIF(Country = 'CZE', 1, 0)) - SUM(IIF(Country = 'SVK', 1, 0)) FROM(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS gasstations WHERE Segment = 'Discount'",1.5173,9473,0.001443,False,[],[None]
4,1486,debit_card_specializing,simple,10,SELECT SUM(Currency = 'CZK') - SUM(Currency = 'EUR') FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS customers WHERE Segment = 'SME',1.1909,7866,0.0012,False,['None'],[-5]
5,1493,debit_card_specializing,simple,10,"SELECT CAST(SUM(IIF(Consumption > 528.3, 1, 0)) AS FLOAT) * 100 / COUNT(CustomerID) FROM(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS yearmonth WHERE Date = '201202'",2.3229,7569,0.001154,False,['400.0'],[None]
6,1500,debit_card_specializing,simple,30,SELECT T3.Description FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID INNER JOIN(SELECT * FROM products ORDER BY ROWID LIMIT 10) AS T3  ON T1.ProductID = T3.ProductID WHERE T2.Date = '201309',3.3705,126380,0.012785,True,[],[]
7,1505,debit_card_specializing,simple,20,SELECT COUNT(*) FROM(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T2.Currency = 'EUR' AND T1.Consumption > 1000.00,4.4574,118944,0.018002,True,['3'],[3]
8,1507,debit_card_specializing,simple,20,SELECT DISTINCT T1.Time FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID WHERE T2.ChainID = 11,2.0255,131920,0.012329,True,[],[]
9,1514,debit_card_specializing,simple,30,SELECT DISTINCT T3.Currency FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID INNER JOIN(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T3  ON T1.CustomerID = T3.CustomerID WHERE T1.Date = '2012-08-24' AND T1.Time = '16:25:00',3.0773,131920,0.011206,True,[],[]
10,1515,debit_card_specializing,simple,20,SELECT T2.Segment FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.date = '2012-08-23' AND T1.time = '21:20:00',1.9196,125080,0.012935,True,[],[]
11,1524,debit_card_specializing,simple,20,SELECT T2.Country FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-24' AND T1.Price  = 548.4,2.9487,131920,0.0116,True,[],[]
12,1525,debit_card_specializing,simple,20,"SELECT CAST(SUM(IIF(T2.Currency = 'EUR', 1, 0)) AS FLOAT) * 100 / COUNT(T1.CustomerID) FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.Date = '2012-08-25'",1.9712,125080,0.011726,False,[],[None]
13,1528,debit_card_specializing,simple,10,"SELECT CAST(SUM(IIF(Country = 'SVK' AND Segment = 'Premium', 1, 0)) AS FLOAT) * 100 / SUM(IIF(Country = 'SVK', 1, 0)) FROM(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS gasstations ",0.5731,5914,0.000901,True,['None'],[None]
14,1472,debit_card_specializing,moderate,20,"SELECT T1.CustomerID FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'LAM' AND SUBSTR(T2.Date, 1, 4) = '2012' GROUP BY T1.CustomerID ORDER BY SUM(T2.Consumption) ASC LIMIT 1",7.9559,115084,0.017433,True,"[0    5
Name: extraction, dtype: object]",[5]
15,1473,debit_card_specializing,moderate,20,"SELECT AVG(T2.Consumption) / 12 FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME'",6.2491,110106,0.016664,False,['None'],[34.535000000000004]
16,1490,debit_card_specializing,moderate,20,"SELECT CAST(SUM(IIF(T2.Consumption > 46.73, 1, 0)) AS FLOAT) * 100 / COUNT(T1.CustomerID) FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'LAM'",4.2554,114100,0.017269,True,['100.0'],[100.0]
17,1501,debit_card_specializing,moderate,30,SELECT DISTINCT T2.Country FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T3  ON T1.CustomerID = T3.CustomerID WHERE T3.Date = '201306',3.3555,131920,0.011504,True,[],[]
18,1506,debit_card_specializing,moderate,30,SELECT DISTINCT T3.Description FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID INNER JOIN(SELECT * FROM products ORDER BY ROWID LIMIT 10) AS T3  ON T1.ProductID = T3.ProductID WHERE T2.Country = 'CZE',1.7842,131920,0.011312,True,[],[]
19,1509,debit_card_specializing,moderate,20,"SELECT COUNT(T1.TransactionID) FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID WHERE T2.Country = 'CZE' AND STRFTIME('%Y', T1.Date) >= '2012'",1.8305,131920,0.01207,False,[],[0]
20,1521,debit_card_specializing,moderate,20,SELECT COUNT(T1.TransactionID) FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-26' AND T1.Time BETWEEN '08:00:00' AND '09:00:00' AND T2.Country = 'CZE',3.1282,131920,0.011878,False,[],[0]
21,1529,debit_card_specializing,moderate,30,"SELECT SUM(T1.Price ) , SUM(IIF(T3.Date = '201201', T1.Price, 0)) FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T3  ON T1.CustomerID = T3.CustomerID WHERE T1.CustomerID = '38508'",5.0779,263840,0.02462,False,[],"[(None, None)]"
22,1531,debit_card_specializing,moderate,30,"SELECT T2.CustomerID, SUM(T2.Price / T2.Amount), T1.Currency FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T2.CustomerID = ( SELECT CustomerID FROM yearmonth ORDER BY Consumption DESC LIMIT 1 ) GROUP BY T2.CustomerID, T1.Currency",2.115,125080,0.012503,True,[],[]
23,1533,debit_card_specializing,moderate,20,SELECT T2.Consumption FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.Price / T1.Amount > 29.00 AND T1.ProductID = 5 AND T2.Date = '201208',1.8385,126380,0.014254,True,[],[]
24,1312,student_club,simple,20,SELECT T2.major_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Angela' AND T1.last_name = 'Sanders',6.5954,142253,0.015362,False,"[0    Outdoor Product Design and Development
1       Ornamental Horticulture Certificate
Name: extraction, dtype: object]",[]
25,1331,student_club,simple,20,SELECT T2.amount FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.position = 'Vice President',4.1161,150579,0.016098,False,['None'],[]
26,1334,student_club,simple,20,"SELECT T1.first_name, T1.last_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM zip_code ORDER BY ROWID LIMIT 10) AS T2  ON T1.zip = T2.zip_code WHERE T2.state = 'Illinois'",2.4746,134560,0.014751,True,[],[]
27,1344,student_club,simple,10,SELECT notes FROM(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS income WHERE source = 'Fundraising' AND date_received = '2019-09-14',4.9253,11224,0.001812,False,"[8    {'income_id': 'recN3WFwGR0c17xe2', 'date_recei...
Name: extraction, dtype: object]",['Secured donations to help pay for speaker gifts.']
28,1346,student_club,simple,10,SELECT phone FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS member WHERE first_name = 'Carlo' AND last_name = 'Jacobs',2.4924,9957,0.001535,True,"[8    928-555-2577
Name: extraction, dtype: object]",['928-555-2577']
29,1351,student_club,simple,20,SELECT T2.major_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Brent' AND T1.last_name = 'Thomason',5.1077,138371,0.012862,False,['None'],[]
30,1356,student_club,simple,20,SELECT T2.department FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T1.position = 'President',7.6237,137118,0.013224,False,['None'],[]
31,1357,student_club,simple,20,SELECT T2.date_received FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.first_name = 'Connor' AND T1.last_name = 'Hilton' AND T2.source = 'Dues',5.8001,160444,0.016102,False,"[0    2019-10-31
1    2019-09-25
Name: extraction, dtype: object]",['2019-10-02']
32,1361,student_club,simple,10,SELECT SUM(cost) FROM(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS expense WHERE expense_description = 'Pizza',1.8538,9420,0.001443,False,['None'],[207.23]
33,1362,student_club,simple,10,SELECT COUNT(city) FROM(SELECT * FROM zip_code ORDER BY ROWID LIMIT 10) AS zip_code WHERE county = 'Orange County' AND state = 'Virginia',0.8577,5824,0.000887,False,['None'],[0]
34,1368,student_club,simple,20,SELECT T2.major_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T1.phone = '809-555-3360',7.9427,139869,0.013662,False,['None'],[]
35,1371,student_club,simple,20,SELECT COUNT(T2.link_to_member) FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM attendance ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event WHERE T1.event_name = 'Women''s Soccer',4.0599,134174,0.013017,False,['None'],[10]
36,1378,student_club,simple,10,SELECT MAX(spent) FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS budget ,1.6585,13964,0.002124,True,"[0    173.06
Name: extraction, dtype: object]",[173.06]
37,1380,student_club,simple,10,SELECT SUM(spent) FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS budget WHERE category = 'Food',2.4432,10453,0.001417,False,['None'],[314.4]
38,1389,student_club,simple,30,SELECT T1.event_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget ORDER BY T3.cost LIMIT 1,3.1426,157799,0.014852,True,[],[]
39,1392,student_club,simple,10,SELECT source FROM(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS income WHERE date_received BETWEEN '2019-09-01' and '2019-09-30' ORDER BY source DESC LIMIT 1,3.0848,16956,0.002067,False,"[0    Fundraising
Name: extraction, dtype: object]",['Fundraising']
40,1394,student_club,simple,20,SELECT COUNT(T2.member_id) FROM(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T2  ON T1.major_id = T2.link_to_major WHERE T1.major_name = 'Physics Teaching',3.4655,131041,0.012669,False,[],[0]
41,1409,student_club,simple,10,SELECT SUM(cost) FROM(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS expense WHERE expense_date = '2019-08-20',1.47,8179,0.001247,False,['None'],[122.06]
42,1410,student_club,simple,20,"SELECT T1.first_name, T1.last_name, SUM(T2.cost) FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.member_id = 'rec4BLdZHS2Blfp4v'",3.8285,150998,0.017295,False,['None'],"[('Sacha', 'Harrison', 189.87)]"
43,1411,student_club,simple,20,SELECT T2.expense_description FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.first_name = 'Sacha' AND T1.last_name = 'Harrison',3.0738,149510,0.014958,False,[],"['Post Cards, Posters', 'Posters']"
44,1422,student_club,simple,20,SELECT DISTINCT T2.category FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event WHERE T1.location = 'MU 215',4.8564,140332,0.01199,False,"[0    Guest Speaker
Name: extraction, dtype: object]",['Speaker Gifts']
45,1317,student_club,moderate,30,SELECT COUNT(T1.event_id) FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM attendance ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T3  ON T2.link_to_member = T3.member_id WHERE T1.event_name = 'Women''s Soccer' AND T3.t_shirt_size = 'Medium',5.2047,318090,0.036771,False,[],[1]
46,1338,student_club,moderate,30,SELECT T3.approved FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget WHERE T1.event_name = 'October Meeting' AND T1.event_date LIKE '2019-10-08%',3.6429,157799,0.014919,True,[],[]
