question_number,question_id,db_id,difficulty,num_documents,altered_sql,execution_time_seconds,llm_total_tokens,llm_total_cost,correct,extracted,ground_truth
1,1471,debit_card_specializing,simple,10,"SELECT CAST(SUM(IIF(Currency = 'EUR', 1, 0)) AS FLOAT) / SUM(IIF(Currency = 'CZK', 1, 0)) AS ratio FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS customers ",2.3825,10470,0.001598,True,[None],[None]
2,1483,debit_card_specializing,simple,10,SELECT SUM(Consumption) FROM(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS yearmonth WHERE CustomerID = 6 AND Date BETWEEN '201308' AND '201311',1.7907,9236,0.001408,False,[509.39],[None]
3,1484,debit_card_specializing,simple,10,"SELECT SUM(IIF(Country = 'CZE', 1, 0)) - SUM(IIF(Country = 'SVK', 1, 0)) FROM(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS gasstations WHERE Segment = 'Discount'",2.1859,11752,0.00179,False,[5],[None]
4,1486,debit_card_specializing,simple,10,SELECT SUM(Currency = 'CZK') - SUM(Currency = 'EUR') FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS customers WHERE Segment = 'SME',1.7345,10467,0.001597,True,"[False, -5]",[-5]
5,1493,debit_card_specializing,simple,10,"SELECT CAST(SUM(IIF(Consumption > 528.3, 1, 0)) AS FLOAT) * 100 / COUNT(CustomerID) FROM(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS yearmonth WHERE Date = '201202'",1.2454,7023,0.001071,False,[10.0],[None]
6,1500,debit_card_specializing,simple,30,SELECT T3.Description FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID INNER JOIN(SELECT * FROM products ORDER BY ROWID LIMIT 10) AS T3  ON T1.ProductID = T3.ProductID WHERE T2.Date = '201309',2.2201,126380,0.011057,True,[],[]
7,1505,debit_card_specializing,simple,20,SELECT COUNT(*) FROM(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T2.Currency = 'EUR' AND T1.Consumption > 1000.00,3.1669,119932,0.018152,True,[3],[3]
8,1507,debit_card_specializing,simple,20,SELECT DISTINCT T1.Time FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID WHERE T2.ChainID = 11,2.9808,131920,0.011225,True,[],[]
9,1514,debit_card_specializing,simple,30,SELECT DISTINCT T3.Currency FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID INNER JOIN(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T3  ON T1.CustomerID = T3.CustomerID WHERE T1.Date = '2012-08-24' AND T1.Time = '16:25:00',2.9859,131920,0.010937,True,[],[]
10,1515,debit_card_specializing,simple,20,SELECT T2.Segment FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.date = '2012-08-23' AND T1.time = '21:20:00',2.6851,125080,0.011467,True,[],[]
